Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Open Date,
"Cuernavaca, Mexico","Galerias, Km. 87.5 Colonia Flores Mag�n",Cuernavaca,Morelos,62370,Mexico,6,150,"18.934819, -99.192297",1517,6/1/2016,
"Valladolid, Mexico","Isleta de Servicios Valladolid, KM 152+700 Autopista M�rida-Canc�n",Valladolid,Yucat�n,,Mexico,4,250,"20.744206, -88.23158",22,3/15/2023,
"Temascalcingo, Mexico",km. 118 de Jos� Mar�a Velasco,Temascalcingo,M�xico,,Mexico,6,120,"19.856342, -100.042983",2533,7/14/2017,
"San Luis de la Paz, Mexico",km 87.740 M�xico 57,San Luis de la Paz,Guanajuato,,Mexico,6,150,"21.294528, -100.593546",1985,7/17/2017,
"San Francisco Ocotl�n, Mexico","Autopista M�xico Puebla Km 115 San Francisco Ocotl�n, Puebla Mexico 72680",San Francisco Ocotl�n,Puebla,,Mexico,6,150,"19.131853, -98.267274",2191,7/15/2017,
"Chilpancingo de los Bravo, Mexico",Lic. Ren� Ju�rez Cisneros 130,Chilpancingo de los Bravo,Guerrero,,Mexico,6,120,"17.51465, -99.482779",1187,10/16/2017,
"Silao, Mexico","Plaza de la Paz, 105, Guanajuato Puerto Interior",Silao,Guanajuato,36275,Mexico,6,120,"21.000631, -101.508116",1795,1/4/2018,
"San Pedro Garza Garcia, Mexico",555 R�o Missouri San Pedro Garza Garc�a,San Pedro Garza Garc�a,Nuevo Le�n,66220,Mexico,8,72,"25.659054, -100.354133",603,5/21/2019,
"Ramos Arizpe, Mexico","Highway Monterrey - Saltillo, 25000-b, Sector San Gregorio",Ramos Arizpe,Coahuila,,Mexico,6,150,"25.613459, -100.846877",1249,3/13/2018,
"Ensenada, Mexico","Carretera Tijuana-Ensenada Km.103 #3421, Zona Playitas",Ensenada,Baja California,22860,Mexico,6,120,"31.866293, -116.662168",17,7/7/2019,
"Valle de Bravo, Mexico",6 Avenida Fontanas No. 6,Valle de Bravo,Mexico,51200,Mexico,4,250,"19.163249, -100.112883",1985,2/25/2023,
"Atizapan de Zaragoza, Mexico",255 Av. Adolfo Ruiz Cortines,Ciudad L�pez Mateos,M�xico,52977,Mexico,8,72,"19.551381, -99.272954",2371,6/23/2018,
"Matehuala, Mexico",57 Tramo Matehuala-Saltillo KM. 11 + 385.49,Matehuala,San Luis Potos�,78746,Mexico,4,120,"23.721462, -100.607074",1568,6/22/2018,
"Santa Fe, Mexico","200 Avenida Vasco de Quiroga, Zedec Santa F�, Alvaro Obreg�n",Ciudad de M�xico,Mexico City,45620,Mexico,8,72,"19.376999, -99.253381",2477,4/19/2019,
"Compostela, Mexico",Kil�metro 38 + 690 lado derecho de la Carretera Federal 200,Compostela,Nayarit,63700,Mexico,4,150,"21.232561, -104.924919",863,9/28/2018,
"Morelia, Mexico",58927 �lvaro Obreg�n,Morelia,Michoac�n,,Mexico,4,250,"19.84131, -101.024823",1839,8/14/2020,
"Villa Hidalgo, Mexico",Carretera San Luis Potos�-Matehuala,Villa Hidalgo,San Luis Potos�,78973,Mexico,4,250,"22.51993, -100.664291",1574,7/15/2020,
"China, Mexico",Autopista Monterrey-Reynosa,China,Nuevo Le�n,,Mexico,6,120,"25.755923, -99.377603",178,7/6/2019,
"Tepatitlan, Mexico","S.s. Juan Pablo II 325, La Gloria",Tepatitl�n de Morelos,Jalisco,47670,Mexico,4,250,"20.8102828, -102.7777501",1793,11/12/2020,
"Aguascalientes, Mexico","Km. 11 Carretera Panamericana, Sur Ejido Pe�uelas",Aguascalientes,Aguascalientes,20349,Mexico,6,150,"21.729665, -102.277536",1880,3/14/2018,
"San Juan del R�o, Mexico",202 Avenida Carretera Panamericana Poniente,San Juan del R�o,Quer�taro,76800,Mexico,6,150,"20.384501, -100.012926",1921,2/28/2017,
"Zapopan, Mexico",Blvrd Puerta de Hierro 4965,Zapopan,Jalisco,45116,Mexico,8,250,"20.710169, -103.412631",1576,4/22/2021,
"Cuencame, Mexico","Pits Cuencame Autopista Torre�n - Yerbaniz Km. 144+974.69, Parcela 126 ,",Cuencame,Durango,35834,Mexico,4,250,"24.993046, -103.732996",1438,3/16/2023,
"Canc�n, Mexico","Manzana 1, SM 46 Fraccion 1-01 Rancho la EsperanzaCanc�n, Quintana Roo, Mexico77560",Cancun-Tulum,Quintana Roo,,Mexico,4,250,"21.013131, -86.855704",3,6/25/2021,
"Chihuahua, Mexico","Perif. de la Juventud, Haciendas",Chihuahua,Chihuahua,31216,Mexico,4,250,"28.630649, -106.121092",1495,4/2/2022,
"Acapulco, Mexico","Av Costera Miguel Alem�n 1632, Fracc Magallanes",Acapulco de Ju�rez,Guerrero,39670,Mexico,4,250,"16.8616041, -99.881917",18,9/2/2022,
"Durango, Mexico",Blvd. Francisco Villa,Durango,Durango,34209,Mexico,4,250,"24.046929, -104.625649",1880,4/21/2022,
"Santa Ana, Mexico","5 de Mayo 901, La Loma",Santa Ana,Sonora,84600,Mexico,4,250,"30.540853, -111.113392",709,9/7/2022,
"Villa Ahumada, Mexico",Av Miguel,Ahumada Norte,Chihuahua,32800,Mexico,4,250,"30.623894, -106.514594",1195,9/16/2022,
